cell_line,treatment,replicate,Assay,time,Ct,Norm2ref
A,Control,1,COL5A1,48.0,24.76914,0.102645658239
A,Control,1,COL5A1,72.0,24.72337,0.154683515059
A,Control,1,COL5A1,96.0,24.52063,0.161874279332
A,Control,1,CTGF,0.5,26.15053,0.0441225441282
A,Control,1,CTGF,1.0,26.30235,0.0320925435651
A,Control,1,CTGF,2.0,26.7031,0.0284338995335
A,Control,1,CTGF,3.0,27.1365,0.0257327490008
A,Control,1,CTGF,4.0,26.54407,0.034293438793
A,Control,1,CTGF,8.0,27.09406,0.0288551855947
A,Control,1,CTGF,12.0,26.74409,0.0307609774404
A,Control,1,CTGF,24.0,26.00502,0.0462622465475
A,Control,1,CTGF,48.0,25.5188,0.0610478590072
A,Control,1,CTGF,72.0,25.77244,0.0747553871438
A,Control,1,CTGF,96.0,25.40646,0.0876024892368
A,Control,1,DCN,0.5,21.32315,1.25269898806
A,Control,1,DCN,1.0,21.06121,1.21379261524
A,Control,1,DCN,2.0,21.38136,1.13720770545
A,Control,1,DCN,3.0,21.32515,1.44502995239
A,Control,1,DCN,4.0,21.11055,1.4820523299
A,Control,1,DCN,8.0,21.67267,1.23658757991
A,Control,1,DCN,12.0,20.92758,1.73358089142
A,Control,1,DCN,24.0,20.60463,1.95391693516
A,Control,1,DCN,48.0,20.11967,2.57614626994
A,Control,1,DCN,72.0,20.59545,2.70440526157
A,Control,1,DCN,96.0,20.6608,2.35018719727
A,Control,1,EGR2,3.0,31.60814,0.00115981417973
A,Control,1,EGR2,8.0,32.7539,0.000570745191605
A,Control,1,EGR2,48.0,30.7998,0.00157011343746
A,Control,1,EGR2,72.0,30.01895,0.00393836177922
A,Control,1,EGR2,96.0,29.00597,0.00722696526196
A,Control,1,ELN,1.0,30.79515,0.00142539941068
A,Control,1,ELN,2.0,31.91718,0.000766023238428
A,Control,1,ELN,4.0,32.44366,0.000574456945006
A,Control,1,ELN,8.0,33.06437,0.000460236945386
A,Control,1,ELN,24.0,29.82183,0.00328286044385
A,Control,1,ELN,48.0,29.29869,0.00444436958881
